username,firstName,lastName,email,password,phone,userStatus
username1,firstName1,lastName1,username1@example.com,password1,+380670000001,1
username2,firstName2,lastName2,username2@example.com,password2,+380670000002,0
username3,firstName3,lastName3,username3@example.com,password3,+380670000003,1
username4,firstName4,lastName4,username4@example.com,password4,+380670000004,0
username5,firstName5,lastName5,username5@example.com,password5,+380670000005,1
username6,firstName6,lastName6,username6@example.com,password6,+380670000006,0
username7,firstName7,lastName7,username7@example.com,password7,+380670000007,1
username8,firstName8,lastName8,username8@example.com,password8,+380670000008,0
username9,firstName9,lastName9,username9@example.com,password9,+380670000009,1
username10,firstName10,lastName10,username10@example.com,password10,+3806700000010,0
